504.14	428.93
499.67	457.83
500.72	478.6
502.16	209.34
502.53	352.88
504.42	411.67
502.62	234.88
504.08	389.42
505.09	61.217
504.18	123.09
506.79	73.342
505	329.5
506	194
508.5	49.5
508.5	91.5
511.31	107.19
511.79	346
512.96	160.56
514.64	306.36
514	359
515.29	468.55
519.12	38.786
518.32	332.64
518.93	205.67
519.2	323.6
520.67	414.41
522.71	56.971
521.61	355.39
522.83	87.07
523.63	481.39
523.41	289.12
523.96	314.61
523.88	343.62
523.83	380.61
525.91	164.82
526.78	67.522
525.33	97.33
525.69	102.85
528.93	404.18
531.71	461.86
530	216.95
530.72	228.91
532.35	427.5
534.29	51.129
533.42	109.75
534.59	74.118
533.5	434.5
536.15	39.7
534.6	318.2
535.27	383.93
535.31	476.69
537	190.52
535.33	237.5
536.91	330.23
535.33	445.67
537.59	94.47
537.7	103.7
537.6	180.8
538.83	307.67
538.5	294.5
541.74	369.34
539.83	170.06
541.12	220.88
543.62	204.04
542	421
545.72	453.39
545.81	57.115
545.76	234.41
545.9	347.52
548.36	25.738
547.31	312.88
546.96	433.25
546.5	475
548.52	130.81
547.9	181.8
547.54	325.15
548.92	383.19
549.62	94.86
551.13	161.83
550.38	43.438
552.5	66.188
554	33
554.65	75.304
553.57	197.86
556.99	407.16
553	421
555.86	299.93
557.33	323.62
557.67	373.88
558.5	140.5
557.62	186.96
556.88	471.75
558.2	50.4
558.6	386.6
558	310
560.11	438.49
560.43	448.86
561.76	338.76
562.65	160.26
565.35	62.161
563.18	172.91
564.11	464
565.2	100
566.45	360.67
567.09	457.45
567.62	45
567	182.71
567.29	379.43
568.44	321.08
568	391
568.38	403.31
569	142
571.84	412.26
571.55	446.14
574.11	230
573.03	432.94
573.5	124
573.82	161.12
574.55	148.91
574.62	399.21
576.31	200.19
575.7	355
578.72	419.78
579.28	112.33
579.94	92.77
579.32	181
580	242.65
579.89	215.11
579.5	372.5
582.27	311.8
582.71	443.12
584.28	77.96
584.39	327.33
584.82	50.941
584.73	361.93
584.88	164.12
586.32	350.81
586.71	402.37
586.33	461.67
591.06	66.903
591.18	100.21
590.57	120.86
590.71	437.64
592.27	383.59
592.27	89.14
593.77	219.6
594	208
594.9	392.1
596	34.714
596.72	427.64
597.59	231.88
597.52	346.74
598.75	77.15
598.54	188.85
597	312
597.57	443.29
599.09	416.36
599.5	159
599.33	175.5
603.6	62.707
602.81	98.69
604.37	141.83
602.4	204.6
604.81	214.84
608.65	191.6
608.47	409.12
608.8	430.04
608.2	224.4
609.08	396.58
610.73	105.19
608.83	131.17
609	151.71
609.79	449.36
611.38	374.05
612	363.71
614.25	118.67
616.65	174.96
614.6	342.07
615	351.5
616.47	73.133
617.71	111
618.65	185.1
619.81	387.75
620.83	59.8
621.28	226.66
621.88	401.44
623.14	441.89
622.81	411.38
625.86	103.71
625.36	137.82
626.04	190.88
625.62	234.46
626.16	345.21
627.87	127.4
629.65	161.97
629.81	74.774
